station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
1,124,2570,2684,877,121,17,565,1457,2739,202,1423,1612,4770,21,6403
1 AVENUE,4,179,195,45,5,2,49,61,80,26,210,144,283,1,428
"1,2,3",96,2026,2298,758,117,10,385,1377,2070,290,1183,1425,3872,18,5315
102 STREET,0,4,5,1,0,0,1,1,8,0,0,1,9,0,10
103 ST.-CORONA PLAZA,10,406,678,208,12,0,14,12,1239,25,25,181,1130,4,1315
103 STREET,7,117,168,51,10,3,25,92,166,7,60,76,276,1,353
104 STREET,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
110 ST.-CATHEDRAL PKWY.,7,211,188,60,4,1,69,120,144,23,113,112,355,3,470
110 ST.-CENTRAL PARK NORTH,0,18,29,22,3,0,4,39,20,3,7,16,56,1,73
110 STREET,4,81,139,71,12,1,20,94,138,8,47,75,232,1,308
111 STREET,0,2,4,1,0,0,1,0,3,1,2,2,5,0,7
111 st-Roosevelt Ave,11,235,393,137,5,0,24,21,697,20,20,122,655,5,782
116 ST.-COLUMBIA UNIVERSITY,4,219,80,16,4,2,103,44,60,10,105,114,208,2,324
116 STREET,13,202,303,171,18,0,39,225,279,27,140,165,541,4,710
121 STREET,0,4,3,0,0,0,0,2,3,1,1,1,6,0,7
125 STREET,27,667,1128,549,54,7,133,1007,796,85,407,592,1832,11,2435
135 STREET,4,36,66,29,6,0,3,84,35,3,17,38,103,1,142
137 ST.-CITY COLLEGE,2,125,195,62,8,1,11,109,183,18,71,73,319,1,393
138 ST.-GRAND CONCOURSE,4,51,79,25,2,0,3,65,80,4,10,25,137,0,162
14 ST.-UNION SQUARE,1,49,68,17,1,1,19,27,48,8,33,35,101,0,136
14 STREET,119,2618,2460,654,111,15,693,1198,2023,243,1801,1724,4230,19,5973
145 STREET,38,632,896,323,49,2,79,749,751,63,303,493,1444,9,1947
148 ST.-HARLEM,0,3,3,0,3,0,1,3,2,1,2,5,4,0,9
149 ST.-GRAND CONCOURSE,3,120,278,135,9,0,9,255,242,4,37,85,460,2,547
15 ST.-PROSPECT PARK,0,2,2,0,0,0,0,1,3,0,0,1,3,0,4
155 STREET,0,20,38,5,2,0,2,34,22,1,6,9,56,0,65
157 STREET,4,48,73,37,1,0,2,39,100,5,18,46,117,1,164
161 ST.-YANKEE STADIUM,18,450,856,405,44,1,28,721,873,53,98,149,1619,6,1774
163 ST.-AMSTERDAM AVE.,3,85,108,49,5,0,8,56,109,7,70,47,201,2,250
167 STREET,0,47,69,30,4,0,2,59,82,3,4,22,127,1,150
168 ST.-WASHINGTON HTS.,11,352,582,242,30,1,74,286,599,39,224,308,909,6,1223
169 STREET,13,298,371,210,11,32,181,154,389,98,51,215,688,2,905
170 STREET,4,115,205,92,6,0,3,172,228,4,15,42,380,0,422
174-175 STREETS,2,20,26,13,2,0,1,23,38,1,0,6,57,0,63
175 STREET,2,79,106,57,6,0,19,62,118,5,49,69,184,0,253
176 STREET,1,58,99,48,3,0,1,96,105,3,5,19,191,0,210
179 ST.-JAMAICA,2,47,77,44,1,3,23,36,84,11,14,41,129,1,171
18 AVENUE,1,22,64,30,5,0,26,6,58,2,30,40,82,0,122
18 STREET,0,8,5,2,0,0,0,4,4,0,7,2,13,0,15
181 STREET,0,29,39,21,1,0,3,19,52,0,16,23,66,1,90
182-183 STREETS,0,38,56,20,1,0,2,46,62,1,5,11,105,0,116
183 STREET,3,28,31,25,0,0,1,26,55,1,4,13,73,1,87
190 STREET,1,3,5,5,2,0,2,6,5,1,2,4,12,0,16
191 STREET,2,31,40,20,3,0,1,24,62,1,8,17,79,0,96
2,2,114,176,58,13,1,10,233,98,5,16,38,325,0,363
2 AVENUE,4,217,195,76,17,2,83,68,146,20,192,150,357,4,511
"2,3",10,274,427,199,20,2,49,448,240,28,169,217,714,5,936
"2,3,4,5",14,510,723,224,25,3,103,664,367,47,315,405,1090,4,1499
"2,5",58,1579,2597,1240,122,11,165,2761,2259,99,312,809,4784,14,5607
20 AVENUE,1,23,54,34,3,0,26,9,43,2,35,38,77,0,115
200 ST.-DYCKMAN ST.,11,99,157,67,9,1,8,63,223,5,44,72,271,1,344
205 ST.-NORWOOD,0,24,28,13,1,0,0,22,43,0,1,16,50,0,66
207 ST.-INWOOD,1,12,36,15,2,0,3,14,41,0,8,15,51,0,66
207 STREET,0,8,11,3,0,0,1,6,13,0,2,1,21,0,22
21 ST.-QUEENSBRIDGE,2,8,15,2,2,0,3,6,20,0,0,10,19,0,29
21 STREET,0,8,9,5,0,0,1,0,17,2,2,4,18,0,22
215 STREET,0,0,2,1,0,0,2,0,1,0,0,1,2,0,3
219 STREET,0,21,29,11,3,0,0,37,22,3,2,3,60,1,64
225 ST.-MARBLE HILL,0,3,6,2,0,0,0,3,6,1,1,3,8,0,11
225 STREET,0,16,24,10,2,0,0,31,19,1,1,4,48,0,52
23 STREET,8,213,273,135,17,2,60,146,245,38,159,138,510,2,650
23 STREET-ELY AVENUE,0,8,24,4,0,0,2,1,27,2,4,10,26,0,36
231 STREET,0,13,10,2,1,0,2,6,17,0,3,2,26,0,28
233 STREET,1,31,49,31,6,0,2,58,52,2,4,18,100,0,118
238 ST.-NEREID AVE.,0,5,7,13,0,0,1,14,9,0,1,5,20,0,25
238 STREET,0,3,3,2,0,0,2,1,2,0,3,4,4,0,8
241 ST.-WAKEFIELD,2,114,176,58,13,1,10,233,98,5,16,38,325,0,363
242 ST.-VAN CORTLANDT PARK,0,57,68,34,0,0,4,34,101,1,20,29,131,0,160
25 AVENUE,0,6,23,16,2,0,11,3,15,0,18,15,32,0,47
25 STREET,1,26,70,30,1,0,4,44,54,3,24,13,115,1,129
28 STREET,18,465,591,195,19,5,140,307,521,44,271,302,980,6,1288
3,17,263,389,150,19,2,14,541,201,12,74,168,675,1,844
3 AVENUE,3,44,39,16,2,0,17,12,29,6,40,30,74,0,104
3 AVENUE-138 STREET,8,88,139,63,13,0,10,129,155,4,13,56,254,1,311
3 AVENUE-149 STREET,4,193,384,218,14,3,18,382,369,11,31,110,704,0,814
"3,4",6,236,330,128,19,2,23,444,153,13,87,175,545,2,722
30 AVENUE,0,6,12,2,1,0,1,4,10,3,3,2,18,1,21
33 STREET,20,523,716,241,31,7,173,291,730,55,281,365,1166,6,1537
34 ST.-HERALD SQ.,27,492,565,164,24,5,189,241,504,77,259,363,910,2,1275
34 ST.-PENN STATION,38,1231,1534,586,131,9,213,1004,1122,324,859,942,2576,13,3531
34 STREET,8,153,217,61,8,1,68,97,213,12,59,124,326,0,450
36 AVENUE,0,1,4,3,0,0,1,2,2,3,0,1,7,0,8
36 STREET,1,136,253,122,8,0,71,76,243,16,114,169,350,1,520
39 AVENUE,0,3,3,4,0,0,0,3,3,2,2,0,10,0,10
4,38,964,1803,909,94,2,56,1361,2136,62,198,373,3432,10,3815
4 AVENUE-9 STREET,6,76,158,44,4,0,22,56,88,11,111,94,194,0,288
"4,5",18,345,421,141,15,6,57,341,375,22,140,214,725,2,941
"4,5,6",199,4086,3993,1309,205,26,922,2267,3184,542,2870,2706,7058,47,9811
40 STREET,1,15,32,10,3,0,7,7,40,1,6,17,44,0,61
42 ST.-GRAND CENTRAL,105,2158,2090,706,116,12,418,1186,1584,390,1595,1430,3735,20,5185
42 ST.-PORT AUTHORITY BUS TERMINAL,76,1527,2394,716,77,26,325,914,2671,227,651,1184,3613,17,4814
42 ST.-TIMES SQUARE,69,1345,1476,300,48,19,280,720,1427,185,624,778,2465,12,3255
42 STREET,9,290,397,141,15,5,104,164,372,34,180,205,651,3,859
45 ROAD-COURT HOUSE SQUARE,3,26,33,8,1,0,11,5,39,10,6,9,62,0,71
45 STREET,0,8,31,15,3,1,5,12,33,2,5,16,42,0,58
46 STREET,13,273,424,169,8,3,100,69,535,68,113,205,679,4,888
47-50 STS./ROCKEFELLER CTR.,0,105,146,40,6,0,46,36,130,12,73,81,214,2,297
49 STREET,0,15,35,9,1,0,3,12,30,3,14,8,53,1,62
5,2,44,76,26,5,0,4,93,47,1,8,22,131,0,153
5 AVENUE,4,59,67,18,3,0,16,27,88,4,17,38,113,1,152
50 STREET,3,138,230,71,9,1,55,75,191,21,112,129,324,2,455
51 STREET,3,134,175,46,9,0,40,66,154,16,93,123,245,1,369
52 STREET,0,54,112,59,3,0,32,9,137,29,21,69,159,0,228
53 STREET,2,22,43,22,1,0,6,14,59,2,9,11,79,0,90
55 STREET,0,1,7,3,0,0,0,1,7,0,3,6,5,0,11
57 STREET,2,68,89,23,4,2,32,14,98,9,36,36,155,0,191
59 ST.-COLUMBUS CIRCLE,106,1800,1898,572,82,12,462,884,1755,162,1207,1290,3180,12,4482
59 STREET,27,459,619,208,19,7,125,287,622,45,249,288,1039,8,1335
6,175,3504,4450,1833,222,32,858,2487,4803,309,1718,2183,7993,31,10207
6 AVENUE,0,14,13,3,1,0,5,6,10,1,9,6,25,0,31
61 ST.-WOODSIDE,1,73,112,44,2,3,26,10,158,21,15,44,189,0,233
62 STREET,0,3,17,3,0,0,2,3,12,3,3,5,18,0,23
63 DRIVE-REGO PARK,1,16,17,13,2,0,9,2,23,4,11,22,27,0,49
65 STREET,0,2,6,3,0,1,1,0,8,0,1,2,9,0,11
66 ST.-LINCOLN CENTER,0,14,10,8,3,0,3,9,12,1,10,6,29,0,35
67 AVENUE,1,1,13,8,0,0,5,4,8,0,6,11,12,0,23
