station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
138 ST.-GRAND CONCOURSE,0,6,9,2,0,0,0,0,7,7,1,2,2,15,0,17
"4,5",0,6,9,2,0,0,0,0,7,7,1,2,2,15,0,17
149 ST.-GRAND CONCOURSE,0,19,41,24,3,1,0,5,46,31,0,6,12,76,0,88
"2,5",0,1,6,1,0,0,0,0,7,1,0,0,0,8,0,8
4,0,18,35,23,3,1,0,5,39,30,0,6,12,68,0,80
161 ST.-YANKEE STADIUM,6,142,281,104,13,0,0,13,241,256,18,18,39,506,1,546
4,5,50,93,39,7,0,0,7,75,103,6,3,9,184,1,194
"B,D",1,92,188,65,6,0,0,6,166,153,12,15,30,322,0,352
167 STREET,0,11,9,7,1,0,0,1,12,14,0,1,5,23,0,28
4,0,9,4,2,0,0,0,1,5,8,0,1,2,13,0,15
"B,D",0,2,5,5,1,0,0,0,7,6,0,0,3,10,0,13
170 STREET,1,19,21,6,0,0,0,0,19,25,1,2,7,40,0,47
4,1,15,17,6,0,0,0,0,17,19,1,2,7,32,0,39
"B,D",0,4,4,0,0,0,0,0,2,6,0,0,0,8,0,8
174-175 STREETS,1,2,3,3,0,0,0,0,2,7,0,0,0,9,0,9
"B,D",1,2,3,3,0,0,0,0,2,7,0,0,0,9,0,9
176 STREET,0,17,43,19,3,1,0,1,40,42,0,0,5,78,0,83
4,0,17,43,19,3,1,0,1,40,42,0,0,5,78,0,83
182-183 STREETS,0,1,3,2,0,0,0,0,1,3,0,2,1,5,0,6
"B,D",0,1,3,2,0,0,0,0,1,3,0,2,1,5,0,6
183 STREET,3,7,7,7,0,0,0,0,7,16,0,1,4,19,1,24
4,3,7,7,7,0,0,0,0,7,16,0,1,4,19,1,24
205 ST.-NORWOOD,0,1,2,2,0,0,0,0,1,4,0,0,1,4,0,5
D,0,1,2,2,0,0,0,0,1,4,0,0,1,4,0,5
219 STREET,0,0,5,0,0,0,0,0,4,1,0,0,0,5,0,5
"2,5",0,0,5,0,0,0,0,0,4,1,0,0,0,5,0,5
225 STREET,0,0,3,1,1,0,0,0,2,3,0,0,1,4,0,5
"2,5",0,0,3,1,1,0,0,0,2,3,0,0,1,4,0,5
233 STREET,0,3,7,7,0,0,0,0,7,9,1,0,5,12,0,17
"2,5",0,3,7,7,0,0,0,0,7,9,1,0,5,12,0,17
238 ST.-NEREID AVE.,0,1,1,3,0,0,0,0,3,1,0,1,0,5,0,5
"2,5",0,1,1,3,0,0,0,0,3,1,0,1,0,5,0,5
241 ST.-WAKEFIELD,0,29,46,13,3,0,0,5,61,16,2,7,10,81,0,91
2,0,29,46,13,3,0,0,5,61,16,2,7,10,81,0,91
3 AVENUE-138 STREET,0,9,14,6,0,0,0,1,11,14,0,3,5,24,0,29
6,0,9,14,6,0,0,0,1,11,14,0,3,5,24,0,29
3 AVENUE-149 STREET,2,48,109,52,2,1,0,4,125,81,0,4,23,191,0,214
"2,5",2,48,109,52,2,1,0,4,125,81,0,4,23,191,0,214
ALLERTON AVENUE,0,4,5,7,1,0,0,0,10,6,1,0,1,16,0,17
"2,5",0,4,5,7,1,0,0,0,10,6,1,0,1,16,0,17
BAYCHESTER AVENUE,0,5,5,1,0,0,0,0,9,2,0,0,2,9,0,11
5,0,5,5,1,0,0,0,0,9,2,0,0,2,9,0,11
BEDFORD PK. BLVD.,0,1,1,2,0,0,0,0,0,3,1,0,1,3,0,4
"B,D",0,1,1,2,0,0,0,0,0,3,1,0,1,3,0,4
BEDFORD PK. BLVD.-LEHMAN COLLEGE,0,17,41,15,0,0,0,0,20,50,1,2,4,69,0,73
4,0,17,41,15,0,0,0,0,20,50,1,2,4,69,0,73
BRONX PARK EAST,0,11,20,5,0,0,0,5,14,13,1,3,2,34,0,36
"2,5",0,11,20,5,0,0,0,5,14,13,1,3,2,34,0,36
BROOK AVENUE,0,17,33,12,1,0,0,3,24,33,0,3,2,61,0,63
6,0,17,33,12,1,0,0,3,24,33,0,3,2,61,0,63
BUHRE AVENUE,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
BURKE AVENUE,0,6,7,1,0,0,0,0,10,4,0,0,3,11,0,14
"2,5",0,6,7,1,0,0,0,0,10,4,0,0,3,11,0,14
BURNSIDE AVENUE,0,19,24,2,0,0,0,0,20,24,0,1,5,40,0,45
4,0,19,24,2,0,0,0,0,20,24,0,1,5,40,0,45
CASTLE HILL AVENUE,1,15,15,14,1,0,0,10,6,30,0,0,2,44,0,46
6,1,15,15,14,1,0,0,10,6,30,0,0,2,44,0,46
CYPRESS AVENUE,0,5,8,2,0,0,0,0,3,12,0,0,5,10,0,15
6,0,5,8,2,0,0,0,0,3,12,0,0,5,10,0,15
EAST 143 ST.-ST. MARYS STREET,0,2,3,2,0,0,0,0,3,4,0,0,0,7,0,7
6,0,2,3,2,0,0,0,0,3,4,0,0,0,7,0,7
EAST 149 STREET,0,24,43,23,2,0,0,2,23,61,2,4,13,79,0,92
6,0,24,43,23,2,0,0,2,23,61,2,4,13,79,0,92
EAST 174 STREET,0,10,24,7,2,0,0,1,23,16,0,3,2,40,1,43
"2,5",0,10,24,7,2,0,0,1,23,16,0,3,2,40,1,43
EAST 177 ST.-PARKCHESTER,1,29,12,15,0,0,0,6,20,29,1,1,9,48,0,57
6,1,29,12,15,0,0,0,6,20,29,1,1,9,48,0,57
EAST 180 STREET,2,54,89,45,2,0,0,5,74,96,8,9,30,161,1,192
"2,5",2,54,89,45,2,0,0,5,74,96,8,9,30,161,1,192
EAST TREMONT AV.-WESTCHESTER SQ.,1,4,0,1,0,0,0,0,0,5,0,1,1,5,0,6
6,1,4,0,1,0,0,0,0,0,5,0,1,1,5,0,6
EAST TREMONT AVE.-WEST FARMS SQ.,1,5,15,6,0,0,0,1,14,10,0,2,3,24,0,27
"2,5",1,5,15,6,0,0,0,1,14,10,0,2,3,24,0,27
ELDER AVENUE,3,9,23,17,0,0,0,0,11,41,0,0,7,45,0,52
6,3,9,23,17,0,0,0,0,11,41,0,0,7,45,0,52
Fordham Rd/Grand Concource,0,5,21,6,2,0,0,1,11,20,0,2,3,30,1,34
"B,D",0,5,21,6,2,0,0,1,11,20,0,2,3,30,1,34
FORDHAM ROAD,0,28,69,40,0,0,0,2,37,88,1,9,17,120,0,137
4,0,28,69,40,0,0,0,2,37,88,1,9,17,120,0,137
FREEMAN STREET,1,13,25,6,0,0,0,1,22,18,1,3,2,43,0,45
"2,5",1,13,25,6,0,0,0,1,22,18,1,3,2,43,0,45
GUN HILL ROAD,4,38,64,25,3,0,0,4,82,36,2,10,8,125,1,134
"2,5",3,32,60,24,3,0,0,4,74,33,2,9,4,117,1,122
5,1,6,4,1,0,0,0,0,8,3,0,1,4,8,0,12
HUNTS POINT AVENUE,4,51,85,24,1,1,1,2,72,80,3,8,22,144,0,166
6,4,51,85,24,1,1,1,2,72,80,3,8,22,144,0,166
INTERVALE AVENUE,1,7,16,9,0,0,0,2,14,15,1,1,6,27,0,33
"2,5",1,7,16,9,0,0,0,2,14,15,1,1,6,27,0,33
JACKSON AVENUE,0,7,20,10,0,0,0,1,13,20,1,2,3,34,0,37
"2,5",0,7,20,10,0,0,0,1,13,20,1,2,3,34,0,37
KINGSBRIDGE ROAD,0,8,10,10,0,0,0,0,12,16,0,0,0,28,0,28
4,0,5,5,8,0,0,0,0,9,9,0,0,0,18,0,18
"B,D",0,3,5,2,0,0,0,0,3,7,0,0,0,10,0,10
LONGWOOD AVENUE,0,4,8,10,0,0,0,0,7,14,0,1,0,22,0,22
6,0,4,8,10,0,0,0,0,7,14,0,1,0,22,0,22
MIDDLETOWN ROAD,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
MORRIS PARK,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
MOSHOLU PKWY.,0,7,12,6,0,0,0,0,5,16,1,3,0,25,0,25
4,0,7,12,6,0,0,0,0,5,16,1,3,0,25,0,25
MT. EDEN AVENUE,0,4,12,5,0,0,0,0,2,18,0,1,0,21,0,21
4,0,4,12,5,0,0,0,0,2,18,0,1,0,21,0,21
OFF-SYSTEM,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
OFF-SYSTEM,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
PELHAM BAY PARK,0,2,1,2,0,0,0,0,2,3,0,0,0,5,0,5
6,0,2,1,2,0,0,0,0,2,3,0,0,0,5,0,5
PELHAM PKWY.,0,1,6,1,0,0,0,0,1,6,0,1,0,8,0,8
"2,5",0,0,5,1,0,0,0,0,1,5,0,0,0,6,0,6
5,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,2
PROSPECT AVENUE,0,10,24,9,1,0,0,2,20,19,2,1,12,32,0,44
"2,5",0,10,24,9,1,0,0,2,20,19,2,1,12,32,0,44
SIMPSON STREET,1,96,99,37,4,1,0,5,102,120,1,10,17,221,0,238
"2,5",1,96,99,37,4,1,0,5,102,120,1,10,17,221,0,238
SOUNDVIEW AVENUE,0,29,45,12,0,0,1,0,15,64,2,4,14,71,1,86
6,0,29,45,12,0,0,1,0,15,64,2,4,14,71,1,86
ST. LAWRENCE AVENUE,0,10,14,5,0,0,0,0,10,16,2,1,3,26,0,29
6,0,10,14,5,0,0,0,0,10,16,2,1,3,26,0,29
TREMONT AVENUE,0,4,9,6,1,0,0,0,10,10,0,0,3,17,0,20
"B,D",0,4,9,6,1,0,0,0,10,10,0,0,3,17,0,20
WHITLOCK AVENUE,1,5,8,1,1,0,0,0,7,9,0,0,3,13,0,16
6,1,5,8,1,1,0,0,0,7,9,0,0,3,13,0,16
